EA_number,Year,REGION_NAME,mean_dist_pp50k,mean_roadden,mean_Area_Ha,elevation7_sq,SLOPE_sq,Total_agr_ecological,cwd_early,cwd_late,pdsi_early,pdsi_late,cwd_w,cwd,pdsi,AcidLevel
3802,2010,Amhara,21437.49609375,0.36496177315712,844.163879394531,3316924,114.668281555176,8,356.66055296393,802.936748207992,-108.499976485758,-235.084234080478,579.798650585961,579.798650585961,-171.792105283118,Neutral
3803,2011,Amhara,21437.49609375,0.36496177315712,844.163879394531,3316924,114.668281555176,8,317.268273220314,584.269106079568,-91.499378768916,-95.932203132704,450.768689649941,450.768689649941,-93.71579095081,Neutral
3804,2012,Amhara,21437.49609375,0.36496177315712,844.163879394531,3316924,114.668281555176,8,406.073452421587,768.742338529231,-78.1891819319607,-27.9461948647932,587.407895475409,587.407895475409,-53.067688398377,Neutral
3805,2013,Amhara,21437.49609375,0.36496177315712,844.163879394531,3316924,114.668281555176,8,142.395259225547,442.690337163876,326.236720142602,242.241224257597,292.542798194712,292.542798194712,284.2389722001,Neutral
3806,2014,Amhara,21437.49609375,0.36496177315712,844.163879394531,3316924,114.668281555176,8,454.594352030946,362.74529070429,-43.7091485569084,199.406027231008,408.669821367618,408.669821367618,77.8484393370498,Neutral
3807,2015,Amhara,21437.49609375,0.36496177315712,844.163879394531,3316924,114.668281555176,8,266.656817992187,650.012019569919,-195.341689232753,-178.270573064816,458.334418781053,458.334418781053,-186.806131148785,Neutral
3808,2016,Amhara,21437.49609375,0.36496177315712,844.163879394531,3316924,114.668281555176,8,443.692969241853,1001.4644411575,-331.678510259034,-549.794609929075,722.578705199677,722.578705199677,-440.736560094055,Neutral
3809,2010,Amhara,24529.05859375,0.129984363913536,837.792114257812,3175829.75,198.133377075195,8,357.697307952879,800.4557822505,-108.706534289458,-235.763521025738,579.076545101689,579.076545101689,-172.235027657598,Neutral
3810,2011,Amhara,24529.05859375,0.129984363913536,837.792114257812,3175829.75,198.133377075195,8,317.411473506975,579.906484128048,-91.4971853020926,-93.2435856850323,448.658978817512,448.658978817512,-92.3703854935625,Neutral
3811,2012,Amhara,24529.05859375,0.129984363913536,837.792114257812,3175829.75,198.133377075195,8,408.470578339747,768.973336453127,-78.1773435552526,-30.37932279026,588.721957396437,588.721957396437,-54.2783331727563,Neutral
3812,2013,Amhara,24529.05859375,0.129984363913536,837.792114257812,3175829.75,198.133377075195,8,132.835251854672,436.058237713126,334.548628284006,249.782843877168,284.446744783899,284.446744783899,292.165736080587,Neutral
3813,2014,Amhara,24529.05859375,0.129984363913536,837.792114257812,3175829.75,198.133377075195,8,456.670177965982,359.003454714792,-45.0496169839224,198.336583120377,407.836816340387,407.836816340387,76.6434830682273,Neutral
3814,2015,Amhara,24529.05859375,0.129984363913536,837.792114257812,3175829.75,198.133377075195,8,264.643832515916,649.624624362852,-194.299095106357,-177.855646753501,457.134228439384,457.134228439384,-186.077370929929,Neutral
3815,2016,Amhara,24529.05859375,0.129984363913536,837.792114257812,3175829.75,198.133377075195,8,445.984012577062,1001.13669598359,-333.320072672883,-550.737522729399,723.560354280326,723.560354280326,-442.028797701141,Neutral
3816,2010,Amhara,29770.634765625,1.98441944121441E-06,859.398010253906,2131046.75,156.519989013672,8,395.586811207909,916.383067088843,-96.024783396839,-221.780354257229,655.984939148376,655.984939148376,-158.902568827034,Neutral
3817,2011,Amhara,29770.634765625,1.98441944121441E-06,859.398010253906,2131046.75,156.519989013672,8,371.947714113642,718.954079533459,-95.9582759402036,-115.970185387262,545.45089682355,545.45089682355,-105.964230663733,Neutral
3818,2012,Amhara,29770.634765625,1.98441944121441E-06,859.398010253906,2131046.75,156.519989013672,8,446.00475244927,901.376993852221,-83.534847319368,-33.1723925630433,673.690873150745,673.690873150745,-58.3536199412057,Neutral
3819,2013,Amhara,29770.634765625,1.98441944121441E-06,859.398010253906,2131046.75,156.519989013672,8,226.351858642956,615.257824845114,316.824792937515,232.777517396826,420.804841744035,420.804841744035,274.80115516717,Neutral
3820,2014,Amhara,29770.634765625,1.98441944121441E-06,859.398010253906,2131046.75,156.519989013672,8,490.884712855469,510.242632809196,-51.2703514546553,189.370151398605,500.563672832332,500.563672832332,69.0498999719749,Neutral
3821,2015,Amhara,29770.634765625,1.98441944121441E-06,859.398010253906,2131046.75,156.519989013672,8,318.698946947878,780.91720482042,-210.108456616757,-201.067000888476,549.808075884149,549.808075884149,-205.587728752616,Neutral
3822,2016,Amhara,29770.634765625,1.98441944121441E-06,859.398010253906,2131046.75,156.519989013672,8,487.909388919694,1116.07250019379,-337.212338181188,-538.662628277371,801.990944556742,801.990944556742,-437.93748322928,Neutral
3823,2010,Amhara,32239.3515625,0,380.020324707031,2160430.25,36.5207328796387,3,417.226833983335,969.224456254501,-93.1142454920819,-211.993803086333,693.225645118918,693.225645118918,-152.554024289207,Neutral
3824,2011,Amhara,32239.3515625,0,380.020324707031,2160430.25,36.5207328796387,3,418.412451755006,785.706946605506,-96.7560167316669,-118.050511582167,602.059699180256,602.059699180256,-107.403264156917,Neutral
3825,2012,Amhara,32239.3515625,0,380.020324707031,2160430.25,36.5207328796387,3,463.11806467692,962.563986501505,-85.3690733593337,-10.1523632469133,712.841025589213,712.841025589213,-47.7607183031235,Neutral
3826,2013,Amhara,32239.3515625,0,380.020324707031,2160430.25,36.5207328796387,3,255.142131603585,690.768302786591,309.307717178249,235.860138352833,472.955217195088,472.955217195088,272.583927765541,Neutral
3827,2014,Amhara,32239.3515625,0,380.020324707031,2160430.25,36.5207328796387,3,506.309987134667,588.911262890594,-49.4032641569166,184.647247425249,547.610625012631,547.610625012631,67.6219916341662,Neutral
3828,2015,Amhara,32239.3515625,0,380.020324707031,2160430.25,36.5207328796387,3,366.366587858091,840.653336566504,-219.110318534835,-204.351203346334,603.509962212298,603.509962212298,-211.730760940585,Neutral
3829,2016,Amhara,32239.3515625,0,380.020324707031,2160430.25,36.5207328796387,3,528.38683559992,1176.18169081443,-335.574218144834,-538.912199163417,852.284263207175,852.284263207175,-437.243208654126,Neutral
3830,2010,Amhara,38182.55078125,0.005121338181198,2687.78564453125,1540240.375,32.7714958190918,3,522.053048824064,1110.11517954583,-63.5459394286011,-189.328493340004,816.084114184947,816.084114184947,-126.437216384303,Neutral
